cod_ti,nome_ti,pop_res_2010,pop_idg_2010,pop_res_2022,pop_idg_2022
1287,Paresi,919,919,1266,1264
1414,Parque do Araguaia,3320,3279,4503,4156
1406,Parque do Aripuanã,394,394,503,494
1392,Parque do Tumucumaque,1936,1935,2251,2250
1422,Parque do Xingu,4840,4840,6177,6167
50745,Passo Grande do Rio Forquilha (1),,,170,74
50056,Patauá,0,0,39,37
8346,Paumari do Cuniua,96,96,82,79
50057,Paumari do Lago Manissuã,0,0,95,83
8354,Paumari do Lago Marahã,1058,1015,1042,1004
8370,Paumari do Lago Paricá,87,78,66,62
8362,Paumari do Rio Ituxi,205,205,146,145
8389,Peneri/Tacaquiri,819,791,894,862
9032,Pequizal,0,0,,
50656,Pequizal do Naruvôtu,1537,1112,40,35
1368,Perigara,120,104,89,89
10553,Peruíbe,151,134,34,29
50665,Piaçaguera (1),,,428,309
7269,Pilad Rebuá,2031,2028,2435,2374
3247,Pimentel Barbosa,1743,1743,2369,2369
50058,Pinatuba,608,608,533,533
50641,Pindoty (1),,,280,229
50737,Pinhal (1),,,101,100
40003,Pinhalzinho,121,120,140,138
8397,Pirahã,183,178,393,393
50636,Pirai (1),,,120,103
7170,Pirajuí,2031,2029,1799,1797
7161,Pirakua,473,473,375,375
7323,Pirineus de Souza,279,279,373,372
50659,Pitaguary,2694,2579,3228,2942
7005,Pium,312,305,387,379
50703,Ponciano (1),,,66,54
7013,Ponta da Serra,175,168,313,300
50650,Ponte de Pedra,380,234,10,
50331,Porquinhos,2600,1762,892,868
50653,Portal do Encantado,1213,1046,266,197
50060,Porto Limoeiro,129,119,40,40
7196,Porto Lindo,3919,3909,3716,3706
50062,Porto Praia,308,308,280,276
7099,Potiguara,8971,8715,11698,10960
50642,Potiguara de Monte-Mor,10106,9143,10966,7639
50646,Potrero Guaçu,725,725,931,916
9610,Poyanawa,558,555,743,735
14907,Praia do Índio,103,99,172,158
14915,Praia do Mangue,0,0,207,180
50064,Prosperidade,270,270,419,419
5355,Queimadas,429,429,692,648
50798,Quixaba (1),,,61,61
7021,Raimundão,363,351,550,545
7145,Rancho Jacaré,447,445,432,431
9750,Raposa Serra do Sol,17750,17102,26378,26176
50065,Recreio/São Félix,200,172,273,255
10430,Ribeirão Silveira,2892,332,296,152
9288,Rio Apaporis,350,350,503,502
5339,Rio Areia,112,112,111,111
9300,Rio Biá,506,506,823,823
7560,Rio Branco,605,605,755,745
10472,Rio Branco Itanhaém,80,80,30,30
40005,Rio das Cobras,2264,2246,3112,3102
50149,Rio dos Índios,224,158,371,182
14800,Rio dos Pardos,22,22,10,
6815,Rio Formoso,168,167,191,188
9466,Rio Gregório,511,511,618,616
50799,Rio Gregório (1),,,348,343
7625,Rio Guaporé,913,913,809,809
50066,Rio Jumas,226,211,147,145
50067,Rio Manicoré,221,221,71,71
7498,Rio Mequens,50,50,94,85
7595,Rio Negro Ocaia,590,585,708,704
50749,Rio Negro Ocaia (1),,,241,157
50007,Rio Omerê,8,,6,
9776,Rio Paru D'Este,244,244,385,385
50103,Rio Pindaré,775,770,1333,1294
50068,Rio Téa,328,323,337,336
50069,Rio Urubu,419,384,949,847
50794,Riozinho (1),,,213,125
50805,Riozinho - RS (1),,,19,
50455,Riozinho do Alto Envira,101,101,278,277
3867,Rodeador,638,632,587,574
7501,Roosevelt,1574,1464,1432,864
7510,Sagarana,57,57,332,332
9857,Sai-Cinza,899,899,1662,1653
50150,Salto Grande do Jacuí,148,148,148,148
5495,Sangradouro/Volta Grande,882,882,1817,1817
50071,Santa Cruz da Nova Aliança,385,376,489,489
7048,Santa Inez,163,157,234,229
1309,Santana,163,163,196,195
7390,São Domingos - MT,463,299,235,230
50587,São Domingos do Jacapari e Estação,2127,623,2043,1935
50073,São Francisco do Canimari,154,154,276,276
5444,São Jerônimo,495,494,564,554
50076,São Leopoldo,1163,1160,1567,1560
3263,São Marcos - MT,3138,3138,3667,3660
9733,São Marcos - RR,7948,4945,18210,10328
8575,São Pedro,93,93,86,86
8419,São Pedro do Sepatini,129,123,74,66
50077,São Sebastião,507,497,424,424
50079,Sapotal,457,457,555,553
1384,Sararé,212,188,201,200
50325,Sarauá,1213,1110,286,4
7200,Sassoró,2764,2763,2257,2255
50080,Sepoti,110,110,318,318
7056,Serra da Moça,479,477,722,676
50121,Serra do Itatins,49,49,41,40
7382,Serra Morena,131,131,141,140
50152,Serrinha,2398,2361,2264,2183
8435,Seruini/Mariene,159,159,48,48
6521,Sete Cerros,378,378,594,588
7340,Sete de Setembro,1050,1048,1490,1443
50627,Setemã,673,576,217,210
50702,Sissaíma (1),,,231,209
50645,Sombrerito,284,256,289,105
9962,Sororó,343,338,594,575
7064,Sucuba,213,212,456,448
50171,Sucuriy,224,224,294,294
50626,Sururuá,631,576,544,386
50687,Taba dos Anacé (1),,,471,463
